Generator-Diesel-cluster1-mod,Generator-Solar PV-cluster1-mod,Store_Li-ion-mod,Generator-Solar PV-cluster1,Load,Ramp
0,0,0,0.0,0.0,-4.0
1,10,20,5.0,2.0,0.0
2,5,10,2.5,3.0,2.0
0,15,30,7.5,1.0,-2.0
1,7,25,8.75,1.5,-3.0
2,18,5,3.75,3.5,1.0
1,2,35,6.25,2.5,3.0
0,13,15,1.25,0.5,-1.0
0,6,38,4.375,2.25,-1.5
2,17,17,9.375,0.25,2.5
2,1,28,1.875,1.25,0.5
1,11,7,6.875,3.25,-3.5
0,3,12,5.625,3.75,-0.5
2,14,33,0.625,1.75,3.5
1,9,2,8.125,0.75,1.5
0,19,23,3.125,2.75,-2.5
0,9,19,6.5625,1.125,3.75
1,20,39,1.5625,3.125,-0.25
2,4,8,9.0625,2.125,-2.25
1,15,29,4.0625,0.125,1.75
